AcademicRecordID,WosUID,Title,DocumentTypeId,LanguageId,PublicationId,PubYear,PubMonth,PubDate,PubVolume,PubIssue,PublicationTypeId,PubPageCount,DatabaseEditionId,ReferenceCount,CiteCount,JournalExpectedCitations,JournalActExpCitations,ImpactFactor,AvgExpectedRate,Percentile,Nci,EsiMostCitedArticle,HotPaper,IsInternationalCollab,IsInstitutionCollab,IsIndustryCollab,OaFlag,JournalInfoId,IsReferenceArticle,QValue,IsPassive,SelfCitationCount
88674,WOS:000232597900002,Algorithms and data structures for flash memories,1,1,11050,2005,JUN,2005-06-01 00:00:00.000,37,2,5,26,1,37,252,,,,,,,,,,,,,,1,,0,0
88675,WOS:000232597900001,Lowering the barriers to programming: A taxonomy of programming environments and languages for novice programmers,1,1,11050,2005,JUN,2005-06-01 00:00:00.000,37,2,5,55,1,95,246,,,,,,,,,,,,,,1,,0,0
88676,WOS:000243147900003,Object tracking: A survey,7,1,11050,2006,,2006-01-01 00:00:00.000,38,4,5,45,1,162,2152,,,,,,,,,,,,,,1,,0,0
88677,WOS:000239391200001,A survey of research and practices of network-on-chip,7,1,11050,2006,MAR,2006-03-01 00:00:00.000,38,1,5,51,1,155,404,,,,,,,,,,,,,,1,,0,0
88678,WOS:000241304100003,Interestingness measures for data mining: A survey,1,1,11050,2006,,2006-01-01 00:00:00.000,38,3,5,32,1,58,327,,,,,,,,,,,,,,1,,0,0
88679,WOS:000241304100001,"Hands-on, simulated, and remote laboratories: A comparative literature review",7,1,11050,2006,,2006-01-01 00:00:00.000,38,3,5,24,1,170,310,,,,,,,,,,,,,,1,,0,0
88680,WOS:000245893300002,Compressed full-text indexes,7,1,11050,2007,APR,2007-04-01 00:00:00.000,39,1,5,61,1,117,274,,,,,,,,,,,,,,1,,0,0
88681,WOS:000245893300003,Survey of network-based defense mechanisms countering the DoS and DDoS problems,1,1,11050,2007,APR,2007-04-01 00:00:00.000,39,1,5,42,1,97,217,,,,,,,,,,,,,,1,,0,0
88682,WOS:000249658500003,"Information fusion for wireless sensor networks: Methods, models, and classifications",7,1,11050,2007,,2007-01-01 00:00:00.000,39,3,5,55,1,285,208,,,,,,,,,,,,,,1,,0,0
88683,WOS:000250967200001,Ontology visualization methods - A survey,1,1,11050,2007,,2007-01-01 00:00:00.000,39,4,5,43,1,67,141,,,,,,,,,,,,,,1,,0,0
88684,WOS:000256356400002,"Image retrieval: Ideas, influences, and trends of the new age",7,1,11050,2008,APR,2008-04-01 00:00:00.000,40,2,5,60,1,279,1181,,,,,,,,,,,,,,1,,0,0
88685,WOS:000261357500001,A Survey of Top-k Query Processing Techniques in Relational Database Systems,1,1,11050,2008,OCT,2008-10-01 00:00:00.000,40,4,5,58,1,70,262,,,,,,,,,,,,,,1,,0,0
88686,WOS:000258695000001,"A survey of autonomic computing - Degrees, models, and applications",7,1,11050,2008,,2008-01-01 00:00:00.000,40,3,5,28,1,115,256,,,,,,,,,,,,,,1,,0,0
88687,WOS:000253939100001,Survey of graph database models,7,1,11050,2008,FEB,2008-02-01 00:00:00.000,40,1,5,39,1,136,231,,,,,,,,,,,,,,1,,0,0
88688,WOS:000268468500002,Anomaly Detection: A Survey,7,1,11050,2009,,2009-01-01 00:00:00.000,41,3,5,58,1,361,2012,,,,,,,,,,,,,,1,,0,0
88689,WOS:000263491800003,Word Sense Disambiguation: A Survey,7,1,11050,2009,,2009-01-01 00:00:00.000,41,2,5,69,1,279,443,,,,,,,,,,,,,,1,,0,0
88690,WOS:000268468500003,Methodologies for Data Quality Assessment and Improvement,1,1,11050,2009,,2009-01-01 00:00:00.000,41,3,5,52,1,92,225,,,,,,,,,,,,,,1,,0,0
88691,WOS:000273219500001,A Survey of Attack and Defense Techniques for Reputation Systems,1,1,11050,2009,DEC,2009-12-01 00:00:00.000,42,1,5,31,1,70,225,,,,,,,,,,,,,,1,,0,0
88692,WOS:000279357800002,Privacy-Preserving Data Publishing: A Survey of Recent Developments,1,1,11050,2010,JUN,2010-06-01 00:00:00.000,42,4,5,53,1,150,439,,,,,,,,,,,,,,1,,0,0
88693,WOS:000277058900001,A Survey of Online Failure Prediction Methods,1,1,11050,2010,MAR,2010-03-01 00:00:00.000,42,3,5,42,1,126,176,,,,,,,,,,,,,,1,,0,0
88694,WOS:000284929200003,A Taxonomy of Sequential Pattern Mining Algorithms,1,1,11050,2010,NOV,2010-11-01 00:00:00.000,43,1,5,41,1,48,107,,,,,,,,,,,,,,1,,0,0
88695,WOS:000277058900003,Location-Dependent Query Processing: Where We Are and Where We Are Heading,1,1,11050,2010,MAR,2010-03-01 00:00:00.000,42,3,5,73,1,389,65,,,,,,,,,,,,,,1,,0,0
88696,WOS:000289889500004,Human Activity Analysis: A Review,7,1,11050,2011,APR,2011-04-01 00:00:00.000,43,3,5,43,1,102,875,,,,,,,,,,,,,,1,,0,0
88697,WOS:000297145500012,A Survey of Hard Real-Time Scheduling for Multiprocessor Systems,1,1,11050,2011,OCT,2011-10-01 00:00:00.000,43,4,5,44,1,148,256,,,,,,,,,,,,,,1,,0,0
88698,WOS:000297145500009,Coverage Problems in Sensor Networks: A Survey,1,1,11050,2011,OCT,2011-10-01 00:00:00.000,43,4,5,53,1,193,198,,,,,,,,,,,,,,1,,0,0
88699,WOS:000286653300006,A Survey of Combinatorial Testing,1,1,11050,2011,JAN,2011-01-01 00:00:00.000,43,2,5,29,1,101,191,,,,,,,,,,,,,,1,,0,0
88700,WOS:000300322300001,A Survey of Automatic Query Expansion in Information Retrieval,1,1,11050,2012,JAN,2012-01-01 00:00:00.000,44,1,5,50,1,203,268,,,,,,,,,,,,,,1,,0,0
88701,WOS:000305584100006,Processing Flows of Information: From Data Stream to Complex Event Processing,1,1,11050,2012,JUN,2012-06-01 00:00:00.000,44,3,5,62,1,163,243,,,,,,,,,,,,,,1,,0,0
88702,WOS:000312211700012,Time-Series Data Mining,1,1,11050,2012,NOV,2012-11-01 00:00:00.000,45,1,5,34,1,208,190,,,,,,,,,,,,,,1,,0,0
88703,WOS:000312211700011,"Search-Based Software Engineering: Trends, Techniques and Applications",1,1,11050,2012,NOV,2012-11-01 00:00:00.000,45,1,5,61,1,292,160,,,,,,,,,,,,,,1,,0,0
88704,WOS:000327934000003,Overlapping Community Detection in Networks: The State-of-the-Art and Comparative Study,1,1,11050,2013,AUG,2013-08-01 00:00:00.000,45,4,5,35,1,98,319,,,,,,,,,,,,,,1,,0,0
88705,WOS:000321212300011,Exploration and Exploitation in Evolutionary Algorithms: A Survey,1,1,11050,2013,JUN,2013-06-01 00:00:00.000,45,3,5,33,1,173,292,,,,,,,,,,,,,,1,,0,0
88706,WOS:000330778700011,From RSSI to CSI: Indoor Localization via Channel Response,1,1,11050,2013,NOV,2013-11-01 00:00:00.000,46,2,5,32,1,104,199,,,,,,,,,,,,,,1,,0,0
88707,WOS:000327934000007,A Survey of Trust in Social Networks,1,1,11050,2013,AUG,2013-08-01 00:00:00.000,45,4,5,33,1,172,183,,,,,,,,,,,,,,1,,0,0
88708,WOS:000331836000004,A Tutorial on Human Activity Recognition Using Body-Worn Inertial Sensors,1,1,11050,2014,JAN,2014-01-01 00:00:00.000,46,3,5,33,1,126,303,,,,,,,,,,,,,,1,,0,0
88709,WOS:000336405900002,A Survey on Concept Drift Adaptation,1,1,11050,2014,MAR,2014-03-01 00:00:00.000,46,4,5,37,1,161,223,,,,,,,,,,,,,,1,,0,0
88710,WOS:000340820600003,Collaborative Filtering beyond the User-Item Matrix: A Survey of the State of the Art and Future Challenges,1,1,11050,2014,JUL,2014-07-01 00:00:00.000,47,1,5,45,1,210,167,,,,,,,,,,,,,,1,,0,0
88711,WOS:000336405900013,A Survey of Intrusion Detection Techniques for Cyber-Physical Systems,1,1,11050,2014,MAR,2014-03-01 00:00:00.000,46,4,5,29,1,90,117,,,,,,,,,,,,,,1,,0,0
88712,WOS:000363733200007,Mobile Crowd Sensing and Computing: The Review of an Emerging Human-Powered Sensing Paradigm,1,1,11050,2015,SEP,2015-09-01 00:00:00.000,48,1,5,31,1,117,175,,,,,,,,,,,,,,1,,0,0
88713,WOS:000360005500013,Processing Social Media Messages in Mass Emergency: A Survey,1,1,11050,2015,JUL,2015-07-01 00:00:00.000,47,4,5,38,1,180,128,,,,,,,,,,,,,,1,,0,0
88714,WOS:000363733200013,Many-Objective Evolutionary Algorithms: A Survey,1,1,11050,2015,SEP,2015-09-01 00:00:00.000,48,1,5,35,1,213,114,,,,,,,,,,,,,,1,,0,0
88715,WOS:000360005500009,Cloud Computing Resource Scheduling and a Survey of Its Evolutionary Approaches,1,1,11050,2015,JUL,2015-07-01 00:00:00.000,47,4,5,33,1,129,94,,,,,,,,,,,,,,1,,0,0
88716,WOS:000388504300010,A Survey of Predictive Modeling on Im balanced Domains,1,1,11050,2016,NOV,2016-11-01 00:00:00.000,49,2,5,50,1,251,57,,,,,,,,,,,,,,1,,0,0
88717,WOS:000382136100010,Understanding Graph-Based Trust Evaluation in Online Social Networks: Methodologies and Challenges,1,1,11050,2016,JUL,2016-07-01 00:00:00.000,49,1,5,35,1,157,57,,,,,,,,,,,,,,1,,0,0
88718,WOS:000388504300004,A Survey on Wireless Indoor Localization from the Device Perspective,1,1,11050,2016,NOV,2016-11-01 00:00:00.000,49,2,5,31,1,131,53,,,,,,,,,,,,,,1,,0,0
88719,WOS:000382136100014,"Socializing the Semantic Gap: A Comparative Survey on Image Tag Assignment, Refinement, and Retrieval",1,1,11050,2016,JUL,2016-07-01 00:00:00.000,49,1,5,39,1,121,45,,,,,,,,,,,,,,1,,0,0
88720,WOS:000405193800007,A Survey on Ensemble Learning for Data Stream Classification,1,1,11050,2017,JUN,2017-06-01 00:00:00.000,50,2,5,36,1,162,36,,,,,,,,,,,,,,1,,0,0
88721,WOS:000399116400017,The Evolution of Android Malware and Android Analysis Techniques,1,1,11050,2017,FEB,2017-02-01 00:00:00.000,49,4,5,41,1,177,33,,,,,,,,,,,,,,1,,0,0
88722,WOS:000399116400010,A Survey of Link Prediction in Complex Networks,1,1,11050,2017,FEB,2017-02-01 00:00:00.000,49,4,5,33,1,87,30,,,,,,,,,,,,,,1,,0,0
88723,WOS:000416325700001,Fog Computing for Sustainable Smart Cities: A Survey,1,1,11050,2017,OCT,2017-10-01 00:00:00.000,50,3,5,43,1,147,28,,,,,,,,,,,,,,1,,0,0
88724,WOS:000419881700017,Feature Selection: A Data Perspective,1,1,11050,2018,JAN,2018-01-01 00:00:00.000,50,6,5,45,1,181,39,,,,,,,,,,,,,,1,,0,0
88725,WOS:000419881700001,"Software Platforms for Smart Cities: Concepts, Requirements, Challenges, and a Unified Reference Architecture",1,1,11050,2018,JAN,2018-01-01 00:00:00.000,50,6,5,37,1,103,13,,,,,,,,,,,,,,1,,0,0
88726,WOS:000434678100004,Metamorphic Testing: A Review of Challenges and Opportunities,7,1,11050,2018,APR,2018-04-01 00:00:00.000,51,1,5,27,1,101,10,,,,,,,,,,,,,,1,,0,0
88727,WOS:000434678100019,Underwater Wireless Sensor Networks: A New Challenge for Topology Control-Based Systems,1,1,11050,2018,APR,2018-04-01 00:00:00.000,51,1,5,36,1,84,10,,,,,,,,,,,,,,1,,0,0
88728,WOS:000443900000004,Dynamic Shading Enhancement for Reflectance Transformation Imaging,1,1,11051,2010,SEP,2010-09-01 00:00:00.000,3,2,5,20,1,26,20,,,,,,,,,,,,,,1,,0,0
88729,WOS:000443901600001,A Taxonomy of Visualization Strategies for Cultural Heritage Applications,1,1,11051,2010,JUN,2010-06-01 00:00:00.000,3,1,5,21,1,93,11,,,,,,,,,,,,,,1,,0,0
88730,WOS:000443900000005,Modeling Visitors' Profiles: A Study to Investigate Adaptation Aspects for Museum Learning Technologies,1,1,11051,2010,SEP,2010-09-01 00:00:00.000,3,2,5,19,1,73,2,,,,,,,,,,,,,,1,,0,0
88731,WOS:000443901600002,PEVIAR: Digital Originals,1,1,11051,2010,JUN,2010-06-01 00:00:00.000,3,1,5,12,1,24,2,,,,,,,,,,,,,,1,,0,0
88732,WOS:000392828900016,A Survey on Routing Protocols in Wireless Sensor Networks,4,1,11052,2012,,2012-01-01 00:00:00.000,,,2,6,4,22,16,,,,,,,,,,,,,,1,,0,0
88733,WOS:000310365600115,A 0.015mm(2) 63fJ/conversion-step 10-Bit 220MS/s SAR ADC With 1.5b/step Redundancy and Digital Metastability Correction,4,1,11053,2012,,2012-01-01 00:00:00.000,,,4,4,4,7,11,,,,,,,,,,,,,,1,,0,0
88734,WOS:000392828900039,OpenFlow based control for Re-routing with Differentiated flows in Data Center Networks,4,1,11052,2012,,2012-01-01 00:00:00.000,,,2,6,4,14,8,,,,,,,,,,,,,,1,,0,0
88735,WOS:000392828900068,BEE-C: A Bio-inspired Energy Efficient Cluster-based Algorithm for Data Continuous Dissemination in Wireless Sensor Networks,4,1,11052,2012,,2012-01-01 00:00:00.000,,,2,6,4,12,7,,,,,,,,,,,,,,1,,0,0
88736,WOS:000369746500016,The current level to weld closed contacts,4,1,11054,2013,,2013-01-01 00:00:00.000,,,2,6,4,16,36,,,,,,,,,,,,,,1,,0,0
88737,WOS:000369746500038,A New Automated Test Equipment for Measuring Electrical Contact Resistance of Real Size Rivets,4,1,11054,2013,,2013-01-01 00:00:00.000,,,2,7,4,16,2,,,,,,,,,,,,,,1,,0,0
88738,WOS:000369746500013,Characterization of EMI/RFI in Commercial and Industrial Electrical Systems,4,1,11054,2013,,2013-01-01 00:00:00.000,,,2,8,4,9,2,,,,,,,,,,,,,,1,,0,0
88739,WOS:000369746500011,Research on Current-carrying Wear Characteristics of Friction Pair in Pantograph Catenary System,4,1,11054,2013,,2013-01-01 00:00:00.000,,,2,5,4,13,2,,,,,,,,,,,,,,1,,0,0
88740,WOS:000209902400001,Hyper3D: 3D Graphics Software for Examining Cultural Artifacts,1,1,11051,2014,AUG,2014-08-01 00:00:00.000,7,3,5,19,1,41,10,,,,,,,,,,,,,,1,,0,0
88741,WOS:000209902300005,Interacting with Virtual Reconstructions in Museums: The Etruscanning Project,1,1,11051,2014,JUL,2014-07-01 00:00:00.000,7,2,5,29,1,58,9,,,,,,,,,,,,,,1,,0,0
88742,WOS:000209902300002,The Revealing Flashlight: Interactive Spatial Augmented Reality for Detail Exploration of Cultural Heritage Artifacts,1,1,11051,2014,JUL,2014-07-01 00:00:00.000,7,2,5,18,1,50,8,,,,,,,,,,,,,,1,,0,0
88743,WOS:000209929400001,Machine Learning Based Typology Development in Archaeology,1,1,11051,2014,FEB,2014-02-01 00:00:00.000,7,1,5,23,1,46,4,,,,,,,,,,,,,,1,,0,0
88744,WOS:000360086600004,Integrating a Location-Based Mobile Game in the Museum Visit: Evaluating Visitors' Behaviour and Learning,1,1,11051,2015,MAY,2015-05-01 00:00:00.000,8,3,5,18,1,54,19,,,,,,,,,,,,,,1,,0,0
88745,WOS:000360085000004,The Natural History Production Line: An Industrial Approach to the Digitization of Scientific Collections,1,1,11051,2015,FEB,2015-02-01 00:00:00.000,8,1,5,11,1,9,14,,,,,,,,,,,,,,1,,0,0
88746,WOS:000360085500004,Visualizing and Assessing Hypotheses for Marine Archaeology in a VR CAVE Environment,1,1,11051,2015,MAR,2015-03-01 00:00:00.000,8,2,5,18,1,41,7,,,,,,,,,,,,,,1,,0,0
88747,WOS:000360085500002,Factors Facilitating Cultural Learning in Virtual Architectural Heritage Environments: End User Perspective,1,1,11051,2015,MAR,2015-03-01 00:00:00.000,8,2,5,20,1,45,7,,,,,,,,,,,,,,1,,0,0
88748,WOS:000391726300004,Visual Recognition of Ancient Inscriptions Using Convolutional Neural Network and Fisher Vector,1,1,11051,2016,DEC,2016-12-01 00:00:00.000,9,4,5,24,1,47,5,,,,,,,,,,,,,,1,,0,0
88749,WOS:000372020900006,Handheld Visual Representation of a Castle Chapel Ruin,1,1,11051,2016,FEB,2016-02-01 00:00:00.000,9,1,5,18,1,30,5,,,,,,,,,,,,,,1,,0,0
88750,WOS:000372020900005,Safeguarding and Accessing Drama as Intangible Cultural Heritage,1,1,11051,2016,FEB,2016-02-01 00:00:00.000,9,1,5,26,1,67,4,,,,,,,,,,,,,,1,,0,0
88751,WOS:000377297000004,Corpus COFLA: A Research Corpus for the Computational Study of Flamenco Music,1,1,11051,2016,MAY,2016-05-01 00:00:00.000,9,2,5,21,1,42,2,,,,,,,,,,,,,,1,,0,0
88752,WOS:000399736200005,More than Meets the Eye: The Benefits of Augmented Reality and Holographic Displays for Digital Cultural Heritage,1,1,11051,2017,APR,2017-04-01 00:00:00.000,10,2,5,15,1,35,6,,,,,,,,,,,,,,1,,0,0
88753,WOS:000407647900006,ARIADNE: A Research Infrastructure for Archaeology,1,1,11051,2017,AUG,2017-08-01 00:00:00.000,10,3,5,27,1,21,4,,,,,,,,,,,,,,1,,0,0
88754,WOS:000399736000004,The Digital Music Lab: A Big Data Infrastructure for Digital Musicology,1,1,11051,2017,APR,2017-04-01 00:00:00.000,10,1,5,21,1,55,4,,,,,,,,,,,,,,1,,0,0
88755,WOS:000399736200006,Automatic Analysis of UV-Induced Fluorescence Imagery of Historical Violins,1,1,11051,2017,APR,2017-04-01 00:00:00.000,10,2,5,13,1,41,4,,,,,,,,,,,,,,1,,0,0
88756,WOS:000434636800001,"A Survey of Augmented, Virtual, and Mixed Reality for Cultural Heritage",1,1,11051,2018,JUN,2018-06-01 00:00:00.000,11,2,5,36,1,158,4,,,,,,,,,,,,,,1,,0,0
88757,WOS:000456779800004,Finding Parallel Passages in Cultural Heritage Archives,1,1,11051,2018,SEP,2018-09-01 00:00:00.000,11,3,5,24,1,60,4,,,,,,,,,,,,,,1,,0,0
88758,WOS:000425711000005,"A Framework to Design, Develop, and Evaluate Immersive and Collaborative Serious Games in Cultural Heritage",1,1,11051,2018,JAN,2018-01-01 00:00:00.000,11,1,5,22,1,81,1,,,,,,,,,,,,,,1,,0,0
88759,WOS:000425711000006,An Interoperable Spatio-Temporal Model for Archaeological Data Based on ISO Standard 19100,1,1,11051,2018,JAN,2018-01-01 00:00:00.000,11,1,5,28,1,50,1,,,,,,,,,,,,,,1,,0,0
88760,WOS:000210085200002,Architectural Implications of Quantum Computing Technologies,1,1,11055,2006,JAN,2006-01-01 00:00:00.000,2,1,5,33,1,144,22,,,,,,,,,,,,,,1,,0,0
88761,WOS:000210085200001,NANA: A Nano-Scale Active Network Architecture,1,1,11055,2006,JAN,2006-01-01 00:00:00.000,2,1,5,30,1,67,7,,,,,,,,,,,,,,1,,0,0
88762,WOS:000207028300001,Predictive Technology Model for Nano-CMOS Design Exploration,1,1,11055,2007,APR,2007-04-01 00:00:00.000,3,1,5,17,1,36,80,,,,,,,,,,,,,,1,,0,0
88763,WOS:000207047100004,Automated Design of Pin-Constrained Digital Microfluidic Biochips Under Droplet-Interference Constraints,1,1,11055,2007,NOV,2007-11-01 00:00:00.000,3,3,5,23,1,23,30,,,,,,,,,,,,,,1,,0,0
88764,WOS:000207047100003,Placement of Defect-Tolerant Digital Microfluidic Biochips Using the T-tree Formulation,1,1,11055,2007,NOV,2007-11-01 00:00:00.000,3,3,5,32,1,25,26,,,,,,,,,,,,,,1,,0,0
88765,WOS:000207028300002,Simulation of Random Cell Displacements in QCA,1,1,11055,2007,APR,2007-04-01 00:00:00.000,3,1,5,14,1,25,19,,,,,,,,,,,,,,1,,0,0
88766,WOS:000265878600001,High-Level Synthesis of Digital Microfluidic Biochips,1,1,11055,2008,JAN,2008-01-01 00:00:00.000,3,4,5,32,1,57,66,,,,,,,,,,,,,,1,,0,0
88767,WOS:000265878600004,Synthesis of Reversible Sequential Elements,1,1,11055,2008,JAN,2008-01-01 00:00:00.000,3,4,5,19,1,30,25,,,,,,,,,,,,,,1,,0,0
88768,WOS:000265878700002,Reversible Logic Synthesis with Fredkin and Peres Gates,1,1,11055,2008,MAR,2008-03-01 00:00:00.000,4,1,5,19,1,25,23,,,,,,,,,,,,,,1,,0,0
88769,WOS:000265879000005,Parametric Yield Management for 3D ICs: Models and Strategies for Improvement,1,1,11055,2008,OCT,2008-10-01 00:00:00.000,4,4,5,22,1,47,16,,,,,,,,,,,,,,1,,0,0
88770,WOS:000269274600003,Defects and Faults in QCA-Based PLAs,1,1,11055,2009,JUL,2009-07-01 00:00:00.000,5,2,5,27,1,30,10,,,,,,,,,,,,,,1,,0,0
88771,WOS:000269274600005,Efficient Parallel Testing and Diagnosis of Digital Microfluidic Biochips,1,1,11055,2009,JUL,2009-07-01 00:00:00.000,5,2,5,17,1,20,10,,,,,,,,,,,,,,1,,0,0
88772,WOS:000269274600004,Scan-Chain Design and Optimization for Three-Dimensional Integrated Circuits,1,1,11055,2009,JUL,2009-07-01 00:00:00.000,5,2,5,26,1,36,8,,,,,,,,,,,,,,1,,0,0
88773,WOS:000265879100003,Emerging Nanodevice Paradigm: Graphene-Based Electronics for Nanoscale Computing,1,1,11055,2009,JAN,2009-01-01 00:00:00.000,5,1,5,19,1,39,6,,,,,,,,,,,,,,1,,0,0
88774,WOS:000285695200003,"Design of Reversible Sequential Circuits Optimizing Quantum Cost, Delay, and Garbage Outputs",1,1,11055,2010,DEC,2010-12-01 00:00:00.000,6,4,5,31,1,40,55,,,,,,,,,,,,,,1,,0,0
88775,WOS:000279365300003,Design Considerations of Sub-mW Indoor Light Energy Harvesting for Wireless Sensor Systems,1,1,11055,2010,JUN,2010-06-01 00:00:00.000,6,2,5,26,1,30,44,,,,,,,,,,,,,,1,,0,0
88776,WOS:000285695200002,Reversible Circuit Synthesis Using a Cycle-Based Approach,1,1,11055,2010,DEC,2010-12-01 00:00:00.000,6,4,5,26,1,20,30,,,,,,,,,,,,,,1,,0,0
88777,WOS:000281765100003,Integrated Control-Path Design and Error Recovery in the Synthesis of Digital Microfluidic Lab-on-Chip,1,1,11055,2010,AUG,2010-08-01 00:00:00.000,6,3,5,28,1,30,14,,,,,,,,,,,,,,1,,0,0
88778,WOS:000292628100003,Photonic Network-on-Chip Architectures Using Multi layer Deposited Silicon Materials for High-Performance Chip Multiprocessors,1,1,11055,2011,JUN,2011-06-01 00:00:00.000,7,2,5,25,1,64,37,,,,,,,,,,,,,,1,,0,0
88779,WOS:000292628100002,Large-Scale Integrated Photonics for High-Performance Interconnects,1,1,11055,2011,JUN,2011-06-01 00:00:00.000,7,2,5,54,1,217,37,,,,,,,,,,,,,,1,,0,0
88780,WOS:000292628100004,Iris: A Hybrid Nanophotonic Network Design for High-Performance and Low-Power on-Chip Communication,1,1,11055,2011,JUN,2011-06-01 00:00:00.000,7,2,5,22,1,54,15,,,,,,,,,,,,,,1,,0,0
88781,WOS:000298958600002,Asynchronous Solutions for Nanomagnetic Logic Circuits,1,1,11055,2011,DEC,2011-12-01 00:00:00.000,7,4,5,18,1,38,12,,,,,,,,,,,,,,1,,0,0
88782,WOS:000302282500005,A Torus-Based Hierarchical Optical-Electronic Network-on-Chip for Multiprocessor System-on-Chip,1,1,11055,2012,FEB,2012-02-01 00:00:00.000,8,1,5,26,1,62,24,,,,,,,,,,,,,,1,,0,0
88783,WOS:000302282500006,Design Considerations for Multilevel CMOS/Nano Memristive Memory,1,1,11055,2012,FEB,2012-02-01 00:00:00.000,8,1,5,22,1,35,23,,,,,,,,,,,,,,1,,0,0
