AcademicKeywordPlusID,Name
125323,MONITORING QUERIES
125324,CACHE INVALIDATION
125325,SENSOR NETWORKS
125326,ACTIVITY RECOGNITION
125327,EVENT RECOGNITION
125328,HUMAN MOVEMENT
125329,PETRI NETS
125330,MOTION
125331,VIDEO
125332,PERCEPTION
125333,GESTURE
125334,SPORADIC TASK SYSTEMS
125335,UTILIZATION BOUNDS
125336,SCHEDULABILITY ANALYSIS
125337,EDF SCHEDULABILITY
125338,GLOBAL EDF
125339,SYNCHRONIZATION
125340,COMPLEXITY
125341,ASSIGNMENT
125342,PROCESSOR
125343,EFFICIENT CONNECTED COVERAGE
125344,INFORMATION COVERAGE
125345,TARGET COVERAGE
125346,ENERGY-CONSERVATION
125347,MAXIMAL BREACH
125348,EXPOSURE PATHS
125349,POINT COVERAGE
125350,DEPLOYMENT
125351,LIFETIME
125352,INTERACTION TEST SUITES
125353,COVERING ARRAYS
125354,TEST-GENERATION
125355,COVERAGE
125356,CONSTRAINTS
125357,RELEVANCE FEEDBACK
125358,WEB SEARCH
125359,DICTIONARY
125360,CONTEXT
125361,ISSUES
125362,RULES
125363,TERMS
125364,ACTIVE DATABASE
125365,QUERY OPTIMIZATION
125366,MANUFACTURING SYSTEMS
125367,DISTRIBUTED SYSTEM
125368,LANGUAGE
125369,SPECIFICATION
125370,SIMILARITY SEARCH
125371,ANOMALY DETECTION
125372,DISTANCE MEASURE
125373,PREDICTION
125374,PATTERN
125375,MOTIFS
125376,DISCOVERY
125377,REAL-TIME SYSTEMS
125378,VULNERABILITY ANALYSIS
125379,AUTOMATED SELECTION
125380,PROJECT-MANAGEMENT
125381,EVOLUTIONARY
125382,QUALITY
125383,COMPONENTS
125384,MIXTURE-MODELS
125385,RAND INDEX
125386,FUZZY
125387,MULTIMODAL FUNCTION OPTIMIZATION
125388,GENETIC ALGORITHMS
125389,DIFFERENTIAL EVOLUTION
125390,MEMETIC ALGORITHMS
125391,COMBINATORIAL OPTIMIZATION
125392,POPULATION DIVERSITY
125393,PARAMETER OPTIMIZATION
125394,MUTATION
125395,STRATEGIES
125396,DEVICE-FREE LOCALIZATION
125397,LOCATION
125398,GEOLOCATION
125399,MITIGATION
125400,MATHEMATICAL-MODEL
125401,REPUTATION SYSTEM
125402,COMMITMENT
125403,STRENGTH
125404,BEHAVIOR
125405,THINKING
125406,AGENTS
125407,MOVEMENT
125408,ONLINE
125409,DETECTING CONCEPT DRIFT
125410,MINING DATA STREAMS
125411,WEIGHTED-MAJORITY
125412,CHANGING ENVIRONMENTS
125413,RECOMMENDER SYSTEMS
125414,CLASSIFIERS
125415,TRACKING
125416,SOCIAL BOOKMARKING
125417,DISTRIBUTIONS
125418,DYNAMICS
125419,REVIEWS
125420,SCIENCE
125421,TOLERANT NETWORKS
125422,GPS TRACES
125423,INTELLIGENCE
125424,OPPORTUNITIES
125425,SMARTPHONES
125426,DISRUPTION
125427,CHALLENGES
125428,EMERGENCE
125429,DECISION
125430,ADOPTION
125431,NONDOMINATED SORTING APPROACH
125432,MULTIOBJECTIVE OPTIMIZATION
125433,PART I
125434,REDUCTION
125435,MOEA/D
125436,CONVERGENCE
125437,PARTICLE SWARM OPTIMIZATION
125438,VIRTUALIZED DATA CENTERS
125439,ENVIRONMENT
125440,ALLOCATION
125441,STRATEGY
125442,STORAGE
125443,SUPPORT VECTOR MACHINES
125444,OVER-SAMPLING TECHNIQUE
125445,IMBALANCED DATA CLASSIFICATION
125446,SKEWED BINARY CLASSIFICATION
125447,ASYMMETRIC LOSS
125448,NEURAL-NETWORKS
125449,ROC CURVE
125450,DATA-SETS
125451,SMOTE
125452,AD-HOC NETWORKS
125453,REPUTATION SYSTEMS
125454,PROPAGATION
125455,DEFENSE
125456,METRICS
125457,ATTACK
125458,TDOA
125459,LATENT DIRICHLET ALLOCATION
125460,TAGGING SYSTEMS
125461,WEB IMAGES
125462,FACTORIZATION
125463,FEATURES
125464,MASSIVE ONLINE ANALYSIS
125465,CONCEPT DRIFT
125466,EVOLVING DATA
125467,MATHEMATICAL-THEORY
125468,LABELED DATA
125469,ACCURACY
125470,PROTEIN-PROTEIN INTERACTIONS
125471,RANDOM-WALK
125472,SIMILARITY
125473,YEAST
125474,GRAPH
125475,THINGS
125476,PRIVACY
125477,CLOUD
125478,DIMENSIONAL FEATURE-SELECTION
125479,ONLINE FEATURE-SELECTION
125480,GROUP LASSO
125481,SPARSITY
125482,NETWORK
125483,CITY
125484,SERVICES
125485,PARTICIPATION
125486,DATA-AGGREGATION
125487,RECEIVERS
125488,WELDABILITY
125489,FACILITY
125490,ELECTRICAL CONTACT
125491,ALLOY WIRE
125492,SPEED
125493,STRIP
125494,SERIOUS GAMES
125495,GUIDE
125496,NAVIGATION
125497,AWARE
125498,ART
125499,SCALE DIGITIZATION
125500,USABILITY EVALUATION
125501,SHIPWRECK
125502,MAZOTOS
125503,CYPRUS
125504,GENERATION
125505,QUANTIZATION
125506,SEMANTIC WEB
125507,ONTOLOGY
125508,FRBR
125509,AUTOMATIC TRANSCRIPTION
125510,SEMANTIC INTEROPERABILITY
125511,BEAT TRACKING
125512,SWI-PROLOG
125513,SIGNALS
125514,AUDIO
125515,VARNISHES
125516,INSTRUMENTS
125517,3D MODELS
125518,MOBILE
125519,VISUALIZATION
125520,EXPLORATION
125521,SITES
125522,TOOL
125523,COMPUTER GAMES
125524,EMPIRICAL-EVIDENCE
125525,VIRTUAL-REALITY
125526,EDUCATION
125527,ELECTROWETTING-BASED ACTUATION
125528,ON-A-CHIP
125529,LIQUID DROPLETS
125530,PUBLIC-HEALTH
125531,BIOTERRORISM
125532,PRINCIPLES
125533,CIRCUITS
125534,PLATFORM
125535,DEVICES
125536,LOGIC
125537,TESTABILITY
125538,COMPUTATION
125539,3-DIMENSIONAL INTEGRATED-CIRCUITS
125540,GIGASCALE INTEGRATION
125541,CHIP INTEGRATION
125542,TECHNOLOGY
125543,MEMORY
125544,STACK
125545,PROGRAMMABLE LOGIC-ARRAYS
125546,DOT CELLULAR-AUTOMATA
125547,QUANTUM
125548,ISOMORPHISM
125549,GATE
125550,DIRAC FERMIONS
125551,TRANSISTORS
125552,CODED DECIMAL ADDERS
125553,LOGIC-CIRCUITS
125554,GATES
125555,SOLAR-CELLS
125556,NODES
125557,SIMPLIFICATION
125558,TEMPLATES
125559,WAVE-GUIDE
125560,OPTICAL NETWORKS
125561,COMB SWITCH
125562,PHOTODETECTORS
125563,RESONATORS
125564,MODULATOR
125565,CROSSINGS
125566,BANDWIDTH
125567,FILTERS
125568,LASER
125569,SILICON-ON-INSULATOR
125570,WIRE WAVE-GUIDES
125571,STIMULATED RAMAN-SCATTERING
125572,FREE SPECTRAL RANGE
125573,QUANTUM-DOT LASER
125574,HIGH-SPEED
125575,MICRORING RESONATORS
125576,ELECTROOPTIC MODULATOR
125577,GERMANIUM PHOTODETECTOR
125578,OPTICAL INTERCONNECTS
125579,WAVE-GUIDES
125580,GROUP INDEX
125581,INSULATOR
125582,INTERCONNECT
125583,DISPERSION
125584,LOSSES
125585,PHOTONIC NETWORKS
125586,CMOS
125587,TRANSCEIVER
125588,TECHNOLOGIES
125589,CELL
125590,DYNAMIC VOLTAGE
125591,SLACK RECLAMATION
125592,POWER
125593,GRAPHS
125594,CORD INJURY PATIENTS
125595,STIMULATION
125596,TUNNEL-JUNCTIONS
125597,ROOM-TEMPERATURE
125598,ANISOTROPY
125599,MULTILAYERS
125600,REVERSAL
125601,MAGNETORESISTANCE
125602,BARRIERS
125603,FUTURE
125604,MGO
125605,TIMING-DEPENDENT PLASTICITY
125606,SYNAPTIC PLASTICITY
125607,HIPPOCAMPAL-NEURONS
125608,HEBBIAN PLASTICITY
125609,PYRAMIDAL CELLS
125610,RAT
125611,PHASE-CHANGE MEMORY
125612,COPPER INTERCONNECTS
125613,CARBON NANOTUBES
125614,RESISTIVITY
125615,CONDUCTIVITY
125616,DIMENSIONS
125617,FILMS
125618,CU
125619,NEGATIVE-RESISTANCE
125620,OXIDE
125621,TRANSITION
125622,CONDUCTION
125623,MECHANISM
125624,SWITCH
125625,AVAILABILITY
125626,TOLERANCE
125627,CLUSTER
125628,NANODEVICES
125629,SWITCHES
125630,ARRAY
125631,QUANTUM COMPUTERS
125632,DISSIPATION
125633,SPIN-TRANSFER TORQUE
125634,NANOMAGNETIC LOGIC
125635,SENSING AMPLIFIER
125636,ERROR-FREE
125637,DRIVEN
125638,GRAPHENE
125639,FIRE MODEL NEURON
125640,SQUID GIANT-AXON
125641,SAR ADC
125642,AUDITORY-CORTEX
125643,CIRCUIT
125644,REALIZATION
125645,SPIKING
125646,VLSI
125647,BLOCKS
125648,DEVICE
125649,VISUAL AREA MT
125650,GLOBAL WORKSPACE THEORY
125651,DECISION-MAKING
125652,NEURONS
125653,SIMULATION
125654,BRAIN
125655,CATEGORIZATION
125656,NEUROSCIENCE
125657,COUNTERFEIT INTEGRATED-CIRCUITS
125658,POWER ANALYSIS
125659,PROTECTION
125660,HARDWARE
125661,CACHE
125662,VOLTAGE
125663,OPERATION
125664,ECC
125665,PARTICLE FILTERS
125666,FLIP-FLOP
125667,ZERO LEAKAGE
125668,WAKEUP TIME
125669,MICROCONTROLLER
125670,MEMORIES
125671,SCHEME
125672,FPGA
125673,NOC ARCHITECTURE
125674,MODULE PLACEMENT
125675,PUF
125676,TEMPERATURE
125677,AVOIDANCE
125678,LIMIT
125679,IP NETWORKS
125680,EFFICIENT PROTOCOLS
125681,LOCAL-AREA-NETWORKS
125682,ROUTERS
125683,SWITCHWARE
125684,END-TO-END
125685,DISJOINT PATHS
125686,STANDARDS
125687,LONG
125688,EXACT EXPONENTIAL ALGORITHMS
125689,NUMBER
125690,SUFFIX ARRAYS
125691,RANK
125692,VERTEX-MINORS
125693,BRANCH-WIDTH
125694,OBSTRUCTIONS
125695,QUADRATIC-FORMS
125696,BASES
125697,WEIGHTED GRAPHS
125698,SPARSE SPANNERS
125699,SHORTEST PATHS
125700,TRADE-OFF
125701,TABLES
125702,PATHS
125703,VOLUME ENCLOSING ELLIPSOIDS
125704,VECTOR MACHINES
125705,SETS
125706,RATES
125707,BALLS
125708,APPROXIMATE DISTANCE ORACLES
125709,ALL-PAIRS
125710,STRETCH
125711,SCALING ALGORITHMS
125712,CYCLE
125713,BURROWS-WHEELER TRANSFORM
125714,STRINGS
125715,ARRAYS
125716,INDEX
125717,ROUTING-PROBLEMS
125718,MINIMUM
125719,TRAVELING SALESMAN
125720,REPAIRMAN
125721,MEMORY HIERARCHIES
125722,PARALLEL MEMORY
125723,LOCALITY
125724,SPANNING-TREES
125725,FPT ALGORITHM
125726,DIRECTED TREES
125727,KERNELIZATION
125728,FASTER
125729,BOUNDS
125730,RENDEZVOUS SEARCH
125731,ROBOTS
125732,HEREDITARY PROPERTIES
125733,GRAPH HOMOMORPHISMS
125734,DELETION
125735,DIGRAPHS
125736,MULTICUT
125737,RANDOM PROJECTIONS
125738,RECONSTRUCTION
125739,APPROXIMATION
125740,LINE
125741,DISTINCT ELEMENTS
125742,COMPRESSED SUFFIX TREES
125743,ORDINAL TREES
125744,TEXT INDEXES
125745,LOWER BOUNDS
125746,IMPROVEMENTS
125747,DICTIONARIES
125748,VERTEX COVER
125749,PARAMETERIZED COMPLEXITY
125750,DOMINATING SET
125751,SATISFACTION PROBLEMS
125752,HYPERTREE-WIDTH
125753,DECOMPOSITION METHODS
125754,HYPERGRAPHS
125755,MARSHALS
125756,THEOREM
125757,INCIDENCE MATRICES
125758,COMPLETION
125759,COMPRESSED TEXT
125760,INDEXES
125761,FIXED EDGES
125762,MINIMUM NUMBER
125763,BENDS
125764,COMPRESSION
125765,SIZE
125766,K-SAT
125767,FIXED-PARAMETER TRACTABILITY
125768,MONADIC 2ND-ORDER LOGIC
125769,FEEDBACK VERTEX SET
125770,GRAPH MINORS
125771,TREE
125772,INTERVAL-GRAPHS
125773,FORMULAS
125774,HASH FUNCTIONS
125775,FACILITY LOCATION
125776,HARD CAPACITIES
125777,LP
125778,DISPERSION PROBLEMS
125779,MAXIMUM DISPERSION
125780,FUNCTION SUBJECT
125781,SET FUNCTIONS
125782,CONSTRAINT
125783,CLIQUE
125784,VERTEX CONNECTIVITY
125785,LARGE HIDDEN CLIQUE
125786,RANDOM GRAPHS
125787,PROOFS
125788,MAXIMUM MATCHINGS
125789,FLOW
125790,PLANAR
125791,SCENES
125792,STEREO
125793,TASK
125794,EYE-MOVEMENTS
125795,ATTENTION
125796,PATTERNS
125797,DISPLAYS
125798,REGIONS
125799,IMAGES
125800,HUMAN MULTIJOINT ARM
125801,VISCOELASTICITY
125802,ENTROPY
125803,OBJECT
125804,VIEWS
125805,OBJECTS
125806,EGOCENTRIC DISTANCE
125807,VISUAL-PERCEPTION
125808,GUIDED LOCOMOTION
125809,REAL
125810,VIEW
125811,SELECTIVE ATTENTION
125812,NEURAL MECHANISMS
125813,SPATIAL ATTENTION
125814,PATTERN-RECOGNITION
125815,CONNECTIONIST MODEL
125816,CORTICAL MECHANISMS
125817,SEARCH ASYMMETRIES
125818,TARGET SELECTION
125819,HISTOGRAMS
125820,PAINTINGS
125821,LOCOMOTION
125822,VISUAL-ATTENTION
125823,OF-THE-LITERATURE
125824,PATH-INTEGRATION
125825,SELF-MOTION
125826,REALITY
125827,GAIT
125828,TREADMILL
125829,HUMANS
125830,ASYMMETRIES
125831,ALLOCENTRIC REFERENCE FRAMES
125832,ORIENTATION
125833,TRAVEL
125834,OWN-RACE
125835,BIAS
125836,EYE-HAND COORDINATION
125837,USER INTERFACES
125838,MOVEMENTS
125839,EOG
125840,ELECTROOCULOGRAPHY
125841,GAZE
125842,UNFAMILIAR FACES
125843,FAMILIAR FACES
125844,DIRECTION
125845,ROOM ACOUSTICS
125846,ENVIRONMENTS
125847,PERCEIVING DISTANCE
125848,DIRECTED ACTION
125849,BLIND-WALKING
125850,GRAPHICS
125851,LOCOMOTION INTERFACES
125852,MUSICAL TIMBRES
125853,MOTOR THEORY
125854,TOOLBOX
125855,AUDITORY-PERCEPTION
125856,SOURCE VELOCITY
125857,MUSIC
125858,LISTENERS
125859,FEEDBACK
125860,MOVES
125861,BILATERAL TELEOPERATION
125862,TELEPRESENCE
125863,EQUIVALENCE
125864,ENVIRONMENTAL SOUNDS
125865,WORLD
125866,HEAR
125867,AUDIOVISUAL SIMULTANEITY
125868,DELAYS
125869,ANOREXIA-NERVOSA
125870,SIZE ESTIMATION
125871,RELIABILITY
125872,SENSORIMOTOR ADAPTATION
125873,VISUAL FEEDBACK
125874,ARM MOVEMENTS
125875,PERCEPTUAL RECALIBRATION
125876,SKILL ACQUISITION
125877,PRISM ADAPTATION
125878,DISPLACED VISION
125879,MOTOR CONTROL
125880,END-POINTS
125881,HAND
125882,VISUAL-ACUITY
125883,IMAGE QUALITY
125884,VISIBILITY
125885,VISUAL DISCOMFORT
125886,IMAGE BLUR
125887,OF-FIELD
125888,IN-DEPTH
125889,DISPARITY
125890,DISTANCE
125891,STEREOPSIS
125892,CUES
125893,IMAGE APPEARANCE
125894,TONE
125895,ENHANCEMENT
125896,HUMAN VISUAL-SYSTEM
125897,MOTION PERCEPTION
125898,COLOR
125899,VISION
125900,DEPTH
125901,HUMAN LOCOMOTION
125902,INERTIA TENSOR
125903,EIGENVECTORS
125904,BINOCULAR COORDINATION
125905,VARIABILITY
125906,VELOCITY
125907,REWARD
125908,AUTHENTICATION
125909,SCANPATHS
125910,P300 SPELLER
125911,ERP
125912,FAMILIARITY
125913,REPETITION
125914,POTENTIALS
125915,NAME
125916,DISTANCE PERCEPTION
125917,VIEWING CONDITIONS
125918,JUDGMENTS
125919,RECALIBRATION
125920,WALKING
125921,GAZE-CONTINGENT DISPLAYS
125922,SACCADIC SUPPRESSION
125923,RESOLUTION
125924,LIMITS
125925,INTERFACE
125926,THROUGH AUGMENTED REALITY
125927,DEPTH JUDGMENTS
125928,CALIBRATION
125929,DISPLAY
125930,SCALE
125931,TARGET
125932,HAPTIC PERCEPTION
125933,ARM MOVEMENT
125934,ROUGHNESS
125935,VIBRATION
125936,METACOGNITION
125937,SENSATION
125938,ILLUSION
125939,SEX-DIFFERENCES
125940,STATE
125941,JAVA
125942,SCAN REGISTER ALLOCATION
125943,IN-TIME COMPILER
125944,ESCAPE ANALYSIS
125945,OPTIMIZATIONS
125946,FORM
125947,STATISTICAL SIMULATION
125948,REGISTER ALLOCATION
125949,INTRUSION DETECTION SYSTEMS
125950,PACKET INSPECTION
125951,ON-CHIP
125952,POWER MANAGEMENT
125953,CORE
125954,MICROARCHITECTURE
125955,FREQUENCY
125956,CONVERTER
125957,ENERGY
125958,POLICIES
125959,SHADER
125960,INTERVAL
125961,HIGH-PERFORMANCE
125962,MECHANISMS
125963,AFFINE SCHEDULING PROBLEM
125964,EFFICIENT SOLUTIONS
125965,FULL-SYSTEM
125966,ACCURATE
125967,LOOPS
125968,MAIN MEMORY
125969,PRAM
125970,COMPILATION SEQUENCES
125971,VECTORIZATION
125972,IMPLICIT PATH ENUMERATION
125973,LEVEL POWER
125974,HIGH-LEVEL SYNTHESIS
125975,OPENCL
125976,FILTER
125977,COMPILATION
125978,SHARED-CACHE MANAGEMENT
125979,SAVING TECHNIQUE
125980,RANDOM-ACCESS MEMORY
125981,LOW-POWER
125982,STT-RAM
125983,NAND
125984,RETENTION
125985,RECOVERY
125986,INDIC SCRIPTS
125987,WORDS
125988,RECOGNITION
125989,RETRIEVAL
125990,AGREEMENT
125991,SENTIMENT ANALYSIS
125992,IMBALANCED DATA
125993,SUBJECTIVITY
125994,ASYNCHRONOUS DS-CDMA
125995,COMPLEX SPREADING SEQUENCES
125996,HIGHER-ORDER EXPECTATIONS
125997,ENHANCED RAKE RECEIVERS
125998,TRUST MANAGEMENT
125999,CHAOTIC TRAJECTORIES
126000,INTRUSION DETECTION
126001,OVERLAY NETWORKS
126002,ULTIMATE LIMITS
126003,PACKET NETWORKS
126004,HOC
126005,ANTHOCNET
126006,SWARM-BOT
126007,ROBOTIC SYSTEM
126008,RECONFIGURATION
126009,CAPABILITIES
126010,TRANSPORT
126011,STABILIZING SYSTEMS
126012,PEER
126013,FREENET
126014,MULTIAGENT SYSTEMS
126015,COALITIONS
126016,GEOMETRIC PATTERNS
126017,MIDDLEWARE
126018,FAILURE
126019,DATA FUSION
126020,COORDINATION
126021,FAULT-TOLERANT
126022,FLEXIBILITY
126023,PRISONERS-DILEMMA
126024,EVOLUTION
126025,ORGANIZATION
126026,RECIPROCITY
126027,STIGMERGY
126028,GLOBAL OPTIMIZATION
126029,WEB SERVICES
126030,EM ALGORITHM
126031,EXACT STOCHASTIC SIMULATION
126032,CALCULUS
126033,LINDA
126034,MOBILE AMBIENTS
126035,COORDINATION MODEL
126036,COMBINATORIAL AUCTIONS
126037,WINNER DETERMINATION
126038,WEB SERVERS
126039,RECOGNITION-BASED JUDGMENTS
126040,DECISIONS INTRODUCTION
126041,ADDITIONAL CUES
126042,PROACTIVE RECOVERY
126043,CONTAINMENT
126044,ARCHITECTURE MODELS
126045,DYNAMIC ADAPTATION
126046,AT RUN.TIME
126047,SUPPORT
126048,DECENTRALIZED ENERGY-MANAGEMENT
126049,HETEROGENEOUS COMPUTING SYSTEMS
126050,DUPLICATION
126051,CLOUDS
126052,EFFICIENCY
126053,CONGESTION AVOIDANCE
126054,WIRELESS SENSOR NETWORKS
126055,STATE MACHINES
126056,MODEL-PREDICTIVE CONTROL
126057,HYBRID SYSTEMS
126058,DISCRETE
126059,REQUIREMENTS
126060,VERIFICATION
126061,CONVENTION EMERGENCE
126062,TOPOLOGY
126063,TASK ALLOCATION
126064,MULTIROBOT COORDINATION
126065,INCENTIVE MECHANISMS
126066,EFFICIENT
126067,DECOMPOSITION
126068,DISJUNCTIVE DEDUCTIVE DATABASES
126069,PREFERRED ANSWER SETS
126070,LOGIC PROGRAMS
126071,EXPRESSIVE POWER
126072,STABLE MODELS
126073,DEFAULT LOGIC
126074,DATALOG
126075,EXPRESSIVE POWERS
126076,CYLINDRICAL ALGEBRAIC DECOMPOSITION
126077,ELIMINATION
126078,FIELDS
126079,LINEAR LOGIC
126080,NONCOMMUTATIVE EXTENSION
126081,FRAGMENT
126082,MELL
126083,TRANSVERSALS
126084,HYPERGRAPH
126085,RAMSEY TEST
126086,TABLEAUX
126087,TEMPORAL LOGIC
126088,GAMES
126089,PROOF PROCEDURE
126090,SECURITY PROTOCOLS
126091,MODEL CHECKING
