AcademicKeywordID,Name
129040,IRC
129041,resource management
129042,SYN flood
129043,VoIP security
129044,information fusion
129045,data aggregation
129046,data fusion
129047,wireless sensor networks
129048,architectures and models
129049,ontology
129050,visualization method
129051,documentation
129052,content-based image retrieval
129053,annotation
129054,tagging
129055,modeling
129056,Top-k
129057,rank-aware processing
129058,rank aggregation
129059,voting
129060,autonomic computing
129061,self-adaptive
129062,self-healing systems
129063,database systems
129064,graph databases
129065,database models
129066,graph database models
129067,graph query languages
129068,graph integrity constraints
129069,Anomaly detection
129070,outlier detection
129071,Word sense disambiguation
129072,word sense discrimination
129073,WSD
129074,lexical semantics
129075,lexical ambiguity
129076,sense annotation
129077,semantic annotation
129078,Data quality
129079,data quality measurement
129080,data quality assessment
129081,data quality improvement
129082,methodology
129083,information system
129084,quality dimension
129085,Reputation
129086,trust
129087,incentives
129088,attacks
129089,collusion
129090,attack mitigation
129091,defense techniques
129092,Information sharing
129093,privacy protection
129094,anonymity
129095,sensitive information
129096,data mining
129097,Error
129098,failure prediction
129099,fault
129100,prediction metrics
129101,runtime monitoring
129102,Web usage mining
129103,sequential patterns
129104,frequent patterns
129105,web log
129106,pattern growth
129107,apriori property
129108,prediction
129109,early pruning
129110,sequence mining
129111,lattice theory
129112,lexicographic order
129113,tree projection
129114,recommender systems
129115,Continuous queries
129116,location-based services
129117,location-dependent data
129118,location-dependent queries
129119,mobile computing
129120,query processing
129121,Computer vision
129122,human activity recognition
129123,event detection
129124,activity analysis
129125,video recognition
129126,Hard real-time scheduling
129127,global scheduling
129128,partitioned scheduling
129129,multiprocessor
129130,multicore
129131,Verification
129132,Coverage
129133,sensor coverage model
129134,network coverage control
129135,network protocol design
129136,Software testing
129137,combinatorial testing (CT)
129138,test case generation
129139,covering array
129140,Query expansion
129141,query refinement
129142,search
129143,word associations
129144,pseudo-relevance feedback
129145,document ranking
129146,Complex event processing
129147,publish-subscribe
129148,stream processing
129149,Distance measures
129150,data indexing
129151,query by content
129152,sequence matching
129153,similarity measures
129154,stream analysis
129155,temporal analysis
129156,time series
129157,search-based techniques
129158,Overlapping community detection
129159,social networks
129160,Diversity
129161,exploration and exploitation
129162,evolutionary algorithms
129163,Indoor localization
129164,RSSI
129165,CSI
129166,human detection
129167,Trust management
129168,social trust
129169,trust models
129170,Standardisation
129171,Activity recognition
129172,gesture recognition
129173,on-body inertial sensors
129174,Activity Recognition Chain (ARC)
129175,Concept drift
129176,change detection
129177,adaptive learning
129178,data streams
129179,applications
129180,challenges
129181,collaborative filtering
129182,Cyber-physical systems
129183,intrusion detection
129184,Mobile phone sensing
129185,cross-space sensing and mining
129186,human-machine systems
129187,urban/community dynamics
129188,crowd intelligence
129189,Socialmedia
129190,crisis computing
129191,disastermanagement
129192,mass emergencies
129193,Many-objective optimization
129194,evolutionary algorithm
129195,scalability
129196,Cloud computing
129197,resource scheduling
129198,evolutionary computation
129199,genetic algorithm
129200,ant colony optimization
129201,particle swarm optimization
129202,Imbalanced domains
129203,rare cases
129204,regression
129205,performance metrics
129206,Trusted graph
129207,trust evaluation
129208,simplification
129209,analogy
129210,online social networks (OSNs)
129211,Wireless indoor localization
129212,device based
129213,device free
129214,channel state information
129215,Social media
129216,social tagging
129217,tag relevance
129218,tag assignment
129219,tag refinement
129220,tag retrieval
129221,Ensemble learning
129222,supervised learning
129223,data stream classification
129224,Android
129225,malware
129226,static analysis
129227,dynamic analysis
129228,detection
129229,Undirected networks
129230,topological properties
129231,similarity-based techniques
129232,probabilistic techniques
129233,Internet of things
129234,fog computing
129235,sustainability
129236,smart cities
129237,software platforms
129238,Metamorphic testing
129239,metamorphic relation
129240,oracle problem
129241,Underwater sensor networks
129242,architectures
129243,models and algorithms
129244,Visualization
129245,cultural heritage shading enhancement
129246,illumination
129247,image processing
129248,Cultural heritage
129249,visualization and modeling strategies
129250,Adaptability
129251,adaptivity
129252,museum adaptive learning technologies
129253,education
129254,design guidelines
129255,museum
129256,Digital preservation
129257,long-term archiving
129258,document authenticity
129259,data migration
129260,visual data representation
129261,WSNs
129262,Energy Efficiency
129263,QoS
129264,Cluster
129265,edge-to-edge reroute
129266,Data Center network
129267,load balancing
129268,Electrical contact resistance
129269,stationary contacts
129270,contact load
129271,contact current
129272,rivet
129273,series arc
129274,arc fault detection
129275,EMI/RFI
129276,commercial and industrial electrical system
129277,wear rate
129278,regression analysis
129279,sliding electrical contact
129280,variance analysis
129281,pantograph catenary system
129282,Computer Graphics
129283,Open-source software
129284,Interaction
129285,3D reconstruction
129286,natural interaction
129287,user interface
129288,communication
129289,virtual museums
129290,Spatial Interaction Techniques
129291,Spatial interaction techniques
129292,expressive visualization
129293,spatial augmented reality
129294,tangible
129295,Standardization
129296,Classification theory
129297,similarity estimation
129298,Bronze Age pottery
129299,Game-based learning
129300,location-based serious game
129301,game evaluation
129302,Natural History
129303,Collection Digitization
129304,Scientific collections
129305,prioritization
129306,industrial approach
129307,production lines
129308,public engagement
129309,crowdsourcing
129310,Marine archaeology
129311,immersion
129312,VR systems and toolkits
129313,Cultural learning
129314,virtual heritage environment
129315,architectural heritage
129316,Fisher vector
129317,convolutional neural network
129318,epigraphy
129319,Latin and Greek inscriptions
129320,Augmented reality
129321,museums
129322,virtual heritage
129323,Drama heritage
129324,intangible cultural heritage
129325,digital heritage
129326,CIDOC-CRM
129327,computational ontology
129328,Research corpus
129329,flamenco
129330,computational ethnomusicology
129331,Wearable technology
129332,holographic computing
129333,usability
129334,Archaeology
129335,e-infrastructure
129336,data standards
129337,SKOS
129338,Digital musicology
129339,music information retrieval
129340,big data
129341,semantic web
129342,UV fluorescence
129343,FTIR
129344,historical violins
129345,Stradivari
129346,virtual reality
129347,mixed reality
129348,Digital archives
129349,statistical language models
129350,suffix trees
129351,serious games
129352,Spatio-temporal model
129353,archaeological data
129354,interoperability
129355,Quantum computing
129356,quantum computer architecture
129357,Accumulator ISA
129358,active network
129359,carbon nanotube
129360,DNA
129361,defect isolation
129362,defect tolerance
129363,nanocomputing
129364,nanoelectronics
129365,reverse path forwarding
129366,self-assembly
129367,Technology scaling
129368,predictive modeling
129369,early design exploration
129370,FinFET
129371,process variations
129372,Physical design automation
129373,droplets
129374,microfluidics
129375,biochips
129376,biochip
129377,placement
129378,Quantum-dot cellular automata
129379,QCA
129380,fabrication variances
129381,fault tolerance
129382,High-level synthesis
129383,scheduling
129384,Reversible logic
129385,sequential circuits
129386,sequential elements
129387,3D integration
129388,leakage
129389,yield management
129390,Nanotechnology
129391,defects
129392,faults
129393,logic mapping
129394,Microfluidic biochip
129395,multiple faults
129396,testing
129397,droplet flooding
129398,reconfigurability
129399,3D ICs
129400,scan-chain design
129401,integer linear programming
129402,LP relaxation
129403,randomized rounding
129404,Graphene device
129405,negative differential resistance
129406,memory structure
129407,tight-binding model
129408,Fredkin gate
129409,Circuit optimization
129410,logic synthesis
129411,reversible circuits
129412,Error recovery
129413,synthesis
129414,Hardware
129415,Optical interconnects
129416,DWDM
129417,Nanophotonics
129418,Networks-on-chip
129419,Interconnection networks
129420,Nanomagnetic logic circuits
129421,quantum dot cellular automata
129422,asynchronous design
129423,null convention logic
129424,Boolean logic
129425,Hierarchical architecture
129426,multiprocessor system-on-chip
129427,optical network-on-chip
129428,optical-electronic router
129429,power consumption
129430,Memristor
129431,multilevel
129432,1T1M
129433,Energy-aware scheduling
129434,task allocation algorithms
129435,dynamic voltage and frequency scaling
129436,dynamic power management
129437,ASIC
129438,implant
129439,low-power
129440,wireless sensor
129441,bladder pressure
129442,neuromodulation
129443,urodynamics
129444,ULP
129445,offset cancellation
129446,FSK transmitter
129447,wireless recharge
129448,MRAM
129449,magnetic memory
129450,spin transfer torque
129451,tunneling magnetoresistance
129452,spin polarization
129453,magnetic tunneling junction
129454,phase change memory
129455,spike timing dependent plasticity
129456,chalcogenide
129457,Interconnect
129458,scaling
129459,cross-point memory array
129460,write margin
129461,read margin
129462,latency
129463,Cu wire
129464,Memory
129465,resistance
129466,resistive
129467,switching
129468,switches
129469,memristive
129470,oxide
129471,nanodevice
129472,Software aging
129473,software rejuvenation
129474,performance degradation
129475,aging-related bugs
129476,software aging literature
129477,Memristors
129478,neural network
129479,on-chip learning
129480,defect and variation tolerance
129481,nanoscale crossbar
129482,redundant design
129483,TSV inductor
129484,DC-DC converter
129485,reversible multiplexer
129486,reversible computing
129487,reversible arithmetic logic unit
129488,Spintronics
129489,ultra-low power
129490,logic computing
129491,domain wall motion
129492,Neuromorphic computing
129493,neural encoding
129494,analog neuron
129495,spiking train
129496,reservoir computing
129497,Digital neuromorphic processor
129498,reconfigurable
129499,silicon neuron
129500,spike-timing-dependent plasticity
129501,spiking neural network
129502,synaptic crossbar array
129503,Spiking neural networks
129504,simulation tools
129505,GPU computing
129506,large-scale brain models
129507,neuromorphic engineering
129508,Reverse engineering (RE)
129509,anti-reverse engineering (anti-RE)
129510,hardware security
129511,delayering
129512,firmware extraction
129513,FPGA security
129514,Standard cell
129515,tunnel FET
129516,asymmetric vertical TFET
129517,area
129518,parasitic capacitance
129519,and parasitic resistance
129520,many-core
129521,Review
129522,near-threshold voltage computing (NT) (NTV) (NTC)
129523,low-voltage
129524,voltage scaling
129525,cache
129526,hard-error
129527,Deep convolutional neural networks
129528,structured pruning
129529,feature map pruning
129530,intra-kernel strided sparsity
129531,non-volatility
129532,internet of things
129533,embedded systems
129534,high performance computing
129535,accelerator
129536,RRAM crossbar
129537,L2-norm-based machine learning
129538,hardware accelerator
129539,wireless NoC
129540,energy saving
129541,analysis
129542,Laboratory-on-a-Chip (LoC)
129543,digital microfluidic biochip (DMFB)
129544,electrowetting-on-dielectric (EWoD)
129545,Advanced encryption standard (AES)
129546,advanced exensible interface (AXI)
129547,bus protocol
129548,filed-programmable gate array (FPGA)
129549,system-on-chips (SoC)
129550,crossbar PUF
129551,HfO2 memristor
129552,low-power wireless
129553,testbeds
129554,application layer multicast
129555,overlay networks
129556,peer-to-peer systems
129557,hierarchy
129558,congestion control
129559,high-speed networks
129560,large bandwidth-delay product
129561,IEEE 802.11
129562,handoff
129563,scanning
129564,probe
129565,association
129566,authentication
129567,lactency
129568,routing
129569,delay tolerant network
129570,network traffic analysis
129571,peer-to-peer networks
129572,fluid model
129573,game theory
129574,wireless
129575,mesh
129576,802.11
129577,anomaly classification
129578,network-wide traffic analysis
129579,traffic classification
129580,host behavior
129581,transport layer
129582,network management
129583,robustness
129584,control
129585,network coding
129586,wireless networks
129587,naming
129588,Internet architecture
129589,name resolution
129590,data
129591,middleboxes
129592,cooperative transmission
129593,DTN
129594,deployment
129595,mobility
129596,utility
129597,Ethernet switch
129598,virtualization
129599,flow-based
129600,data center topology
129601,equal-cost routing
129602,architecture
129603,network
129604,virtual network embedding
129605,path splitting
129606,path migration
129607,network virtualization
129608,optimization
129609,Computing theory
129610,Cloud Definition
129611,Grid
129612,Economics
129613,Cloud-service data centers
129614,costs
129615,network challenges
129616,commoditization
129617,Modular data center
129618,Server-centric network
129619,Multi-path
129620,Data Center Networks
129621,Optical Networks
129622,ECN
129623,TCP
129624,Data center traffic
129625,traffic modeling
129626,Data center networking
129627,optical circuit switching
129628,hybrid network
129629,Data center
129630,Flow-based networking
129631,Topology-aware
129632,Random Walk
129633,Markov Chain
129634,Datacenter
129635,Allocation
129636,Virtual Network
129637,Bandwidth
129638,Middlebox
129639,Cloud
129640,Outsourcing
129641,NDN
129642,data plane
129643,adaptive forwarding
129644,Green computing
129645,Energy
129646,Flow scheduling
129647,Deadline
129648,Full Duplex
129649,Interference Cancellation
129650,Non-linear Cancellation
129651,Centralized Traffic Engineering
129652,Wide-Area Networks
129653,Software-Defined Networking
129654,OpenFlow
129655,Inter-DC WAN
129656,Network Function Virtualisation (NFV)
129657,peer-to-peer (P2P)
129658,Internet of Things (IoT)
129659,Configuration management
129660,WiFi
129661,OFDM
129662,Internet Video
129663,Bitrate Adaptation
129664,DASH
129665,Model Predictive Control
129666,Datacenter Networks
129667,Clos topology
129668,Merchant Silicon
129669,Centralized control and management
129670,NFV
129671,Capacitated Set Cover
129672,Facility Location
129673,NP-hardness
129674,DDoS defense
129675,link-flooding attack
129676,traffic engineering
129677,Knowledge Plane
129678,SDN
129679,Network Analytics
129680,Knowledge-Defined Networking
129681,Information-Centric Networking
129682,Named Data Networking
129683,Forwarding
129684,Context-Awareness
129685,Quality of Service
129686,Reproducible research
129687,Teaching computer networks
129688,Software-Defined Networking (SDN)
129689,protocols
129690,protocol design
129691,databases
129692,Waypoints
129693,VNFs
129694,Vehicular networks
129695,Reproducibility
129696,Artifacts
129697,network evolution
129698,network ossification
129699,Internet fragmentation
129700,bypass networks
129701,routing protocol evolution
129702,Online network optimization
129703,competitive analysis
129704,group Steiner
129705,multi-cuts
129706,Algorithm
129707,Succinct data structures
129708,XML document representation
129709,Approximate distance oracles
129710,spanners
129711,shortest paths
129712,distance queries
129713,distances
129714,Bipartite matching
129715,maximum cardinality matching
129716,one-sided preference lists
129717,Exact exponential algorithms
129718,listing algorithms
129719,measure and conquer
129720,minimum dominating set
129721,minimum set cover
129722,domatic number
129723,Compressed dynamic data structures
129724,compressed text databases
129725,partial sums
129726,sequences
129727,branch-width
129728,clique-width
129729,rank-width
129730,matroids
129731,Speed scaling
129732,frequency scaling
129733,power management
129734,Decomposition strategy
129735,dynamic programming
129736,ordered trees
129737,tree edit distance
129738,Approximation algorithm
129739,vertex cover
129740,semidefinite programming
129741,Gauss' algorithm
129742,lattice reduction
129743,Spanner
129744,metric embedding
129745,Kernelization
129746,feedback vertex set
129747,matching
129748,fixed parameter tractability
129749,Coresets
129750,sparsity
129751,boosting
129752,approximation
129753,minimum enclosing ball
129754,Planar graphs
129755,Monge
129756,replacement paths
129757,succinct indexes
129758,strings
129759,binary relations
129760,trees
129761,labeled trees
129762,multilabeled trees
129763,compressed text indexes
129764,Text processing
129765,pattern matching
129766,string algorithms
129767,suffix tree
129768,data compression
129769,compressed index
129770,Distributed computing
129771,functional monitoring
129772,Graph theory
129773,vehicle routing
129774,k-stroll
129775,orienteering
129776,orienteering with time-windows
129777,cache-oblivious
129778,fast Fourier transform
129779,I/O complexity
129780,matrix multiplication
129781,matrix transpose
129782,sorting
129783,lower bounds
129784,max-leaf spanning tree
129785,out-branching
129786,parameterized algorithms
129787,Rendezvous
129788,graph
129789,asynchronous
129790,deterministic
129791,Fixed-parameter tractability
129792,treewidth
129793,cut problems
129794,separation problems
129795,Johnson-Lindenstrauss
129796,compressed sensing
129797,restricted isometry
129798,exploration
129799,compact data structure
129800,Communication complexity
129801,distinct elements
129802,frequency moments
129803,Succinct tree representations
129804,compressed sequence representations
129805,Constraint satisfaction
129806,hypergraphs
129807,hypertree width
129808,fractional edge covers
129809,Asteroidal triple
129810,congenial hole
129811,modular decomposition
129812,String compression
129813,Planarity
129814,partial embedding
129815,simultaneous embedding
129816,important separators
129817,subset feedback vertex set
129818,directed graphs
129819,Optimal growth rate
129820,reduction
129821,satisfiability
129822,strong exponential time hypothesis
129823,algorithmic meta-theorems
129824,sparse graphs
129825,graph minors
129826,hitting minors
129827,Ordering problem
129828,PQ-trees
129829,planar embeddings
129830,interval graphs
129831,k-Independent hashing
129832,linear probing
129833,minwise independence
129834,facility location problems
129835,k-median
129836,dependent rounding
129837,Smoothed analysis
129838,local search
129839,maximum-cut problem
129840,dispersion
129841,submodular functions
129842,greedy algorithms
129843,Lovasz Local Lemma
129844,Shearer's criterion
129845,Resampling Algorithm
129846,Rooted connectivity
129847,edge-costs
129848,node-weights
129849,Sum of Squares method
129850,planted clique
129851,random matrices
129852,Gaussian elimination
129853,maximum matching
129854,SETH
129855,Visual routines
129856,visual attention
129857,reinforcement learning
129858,High dynamic-range imaging
129859,tone-mapping algorithms evaluation
129860,psychophysical experiments
129861,Haptic interface
129862,material identification
129863,semi-infinite body model
129864,thermal display
129865,thermal feedback
129866,thermal perception
129867,hand-object interaction
129868,virtual environment
129869,Treadmill virtual environments
129870,locomotion
129871,visual self-motion
129872,network visualization
129873,graph visualization
129874,stereoscopic displays
129875,Active vision
129876,computational modeling
129877,eye-movements
129878,immersive environments
129879,video games
129880,Haptic perception
129881,mobile device
129882,interface using illusionary sensation
129883,Image quality
129884,subjective measurement
129885,qualitative methodology
129886,image contents
129887,Viewpoint selection
129888,mesh saliency
129889,visual perception
129890,information theory
129891,3D mesh
129892,Roughness
129893,Curvature
129894,Masking
129895,subjective evaluation
129896,Perception
129897,distance judgments
129898,head-mounted displays
129899,Immersive virtual environment
129900,minification
129901,field of view
129902,pincushion distortion
129903,pitch
129904,saliency
129905,regions of interest
129906,biologically motivated computer vision
129907,robot vision
129908,Art
129909,painting
129910,image similarity
129911,perceptual reasoning
129912,Distance estimation
129913,egocentric depth perception
129914,large-screen immersive displays
129915,virtual environments
129916,eye-tracker
129917,treadmill
129918,spatial navigation
129919,control system
129920,clutter
129921,design tool
129922,field study
129923,Virtual Reality (VR)
129924,space perception
129925,graphics
129926,human-machine comparisons
129927,Recognition of reading
129928,eye movement analysis
129929,multimodal sensing
129930,sensorimotor coordination
129931,head movements
129932,electrooculography (EOG)
129933,Spatial sound
129934,time-frequency processing
129935,head-mounted display
129936,Virtual reality interfaces
129937,navigation
129938,travel
129939,metrics
129940,Sound-tracing
129941,music-related motion
129942,Pseudo-haptic
129943,texture
129944,elasticity
129945,stiffness
129946,Description
129947,motion
129948,trajectories
129949,synthesis control
129950,mapping
129951,sound perception
129952,drawing
129953,Cutaneous force feedback
129954,tactile force feedback
129955,robotic teleoperation
129956,wearable haptics
129957,Gesture
129958,environmental sound perception
129959,cross-modal relationships
129960,sound source identification
129961,sound tracing
129962,sound mimicry
129963,embodied cognition
129964,Temporal perception
129965,simultaneity
129966,touch
129967,feedback
129968,touchscreen
129969,tactile
129970,audio
129971,Three-Dimensional Graphics and Realism
129972,Vision and Scene Understanding
129973,Body perception
129974,human perception and performance
129975,visual psychophysics
129976,3D shape
129977,BMI
129978,avatar
129979,high frame rate
129980,preference
129981,cinema
129982,stereoscopic 3D
129983,Depth of field
129984,depth perception
129985,stereoscope
129986,3D TV
129987,binocular disparity
129988,Color appearance modeling
129989,ITMO
129990,high-dynamic-range imaging
129991,Motion perception
129992,motion-pattern interaction
129993,light projection
129994,illusion
129995,Virtual worlds
129996,immersive virtual environments
129997,multisensory perception
129998,visuo-haptic feedback
129999,motor control
130000,Eye movement biometrics
130001,saccadic vigor
130002,saccadic acceleration
130003,Subconscious mind
130004,brain-computer interfaces
130005,Foveated rendering
130006,eye-tracking
130007,real walking
130008,translation gains
130009,biomechanics
130010,gait
130011,Spatial Perception
130012,Head-worn displays
130013,distance perception
130014,blind walking
130015,field-of-view
130016,Tactile stimulation
130017,haptic texture rendering
130018,design requirements
130019,speed perception
130020,peripheral vision
130021,oculus rift HMDs
130022,DK2
130023,Point cloud data
130024,3D perception
130025,depth cues
130026,artificial neural networks
130027,design space exploration
130028,performance prediction
130029,sensitivity studies
130030,switch on event multithreading
130031,SOE
130032,coarse-grained multi-threading
130033,fairness
130034,throughput
130035,weighted speedup
130036,language
130037,interpreter
130038,virtual machine
130039,register architecture
130040,stack architecture
130041,multicore processor
130042,power density
130043,temperature
130044,thermal management
130045,thread migration
130046,Java
130047,compiler
130048,just-in-time compilation
130049,intermediate representation
130050,register allocation
130051,deoptimization
130052,thermal sensor allocation
130053,nonuniform and uniform sensor placement
130054,benchmarks
130055,workload characterization
130056,benchmark cloning
130057,thread-level speculation
130058,chip-multiprocessing
130059,automatic parallelization
130060,instruction scheduling
130061,SIMD
130062,fine-grained multithreading control flow
130063,GPU
130064,Phase ordering
130065,exhaustive search
130066,iterative compilation
130067,Processor caches
130068,process variation
130069,Processor architectures
130070,caches
130071,memory structures
130072,fault recovery
130073,Scratchpad memory
130074,software-managed cache
130075,memory allocation
130076,graph coloring
130077,memory coloring
130078,live range splitting
130079,register coalescing
130080,chip multiprocessors
130081,hierarchical networks
130082,String-matching
130083,deterministic and nondeterministic finite automaton
130084,pipelined processing
130085,intrusion detection system
130086,Low power
130087,network-on-chip (NoC)
130088,IP mapping
130089,bandwidth and latency constraints
130090,Collective optimization
130091,continuous optimization
130092,statistical optimization
130093,adaptive compiler
130094,self-tuning computing systems
130095,collective optimization database
130096,multiple datasets
130097,program characterization
130098,program reaction to optimization
130099,function cloning
130100,runtime adaptation
130101,Energy-efficiency
130102,on-chip voltage regulators
130103,fine-grained DVFS
130104,power gating
130105,Checkpoint
130106,petascale
130107,exascale
130108,phase-change memory
130109,optimum checkpoint model
130110,hybrid checkpoint
130111,in-memory checkpoint
130112,in-disk checkpoint
130113,incremental checkpoint
130114,background checkpoint
130115,checkpoint prototype
130116,Parallel libraries
130117,Intel Threading Building Blocks
130118,OpenMP
130119,task stealing
130120,thermal aware server provisioning
130121,thermal aware workload distribution
130122,energy-proportional systems
130123,and cooling computing power trade-off
130124,Shared cache
130125,cache partitioning
130126,replacement
130127,Multithreaded COTS processors
130128,Resource-stressing benchmarks
130129,WCET
130130,evaluation
130131,Prefetching
130132,Polyhedral model
130133,CUDA
130134,code generation
130135,compilers
130136,loop transformations
130137,C-to-CUDA
130138,Par4All
130139,PPCG
130140,GPGPU
130141,multi GPU
130142,stencil computation
130143,Stream computing
130144,parallel programming
130145,data-flow
130146,Interval simulation
130147,interval model
130148,performance modeling
130149,Finite element integration
130150,local assembly
130151,optimizations
130152,SIMD vectorization
130153,Hamming graph
130154,dragonfly network
130155,topology
130156,deadlock-freedom
130157,FIFO queue
130158,dynamic scheduling
130159,work stealing
130160,lock-free algorithm
130161,weak memory model
130162,dataflow programming
130163,Kahn process network
130164,manycore
130165,Lattice-Boltzmann method
130166,time tiling
130167,polyhedral framework
130168,Memoization
130169,Transcendental Functions
130170,Link time optimization
130171,function interception
130172,Emerging technologies
130173,mass storage
130174,memory control and access
130175,virtual memory
130176,Hardware accelerators
130177,main memory
130178,memory controller
130179,GPUs
130180,real-time systems
130181,heterogeneous systems
130182,system-on-a-chip
130183,phase-ordering problem
130184,Bayesian networks
130185,statistical inference
130186,Basic block vectorization
130187,SLP vectorization
130188,loop vectorization
130189,partial vectorization
130190,partial SIMD parallelism
130191,profiling
130192,deeply embedded systems
130193,IoT
130194,LLVM
130195,Image processing
130196,domain specific languages
130197,FPGAs
130198,Autotuning
130199,phase-ordering
130200,supervised-learning
130201,Nonvolatile memories
130202,compression
130203,Last level cachey
130204,energy-performance
130205,Graph processing
130206,symbolic execution
130207,efficiency
130208,Tri-Level PCM
130209,M-metric
130210,write speed
130211,read latency
130212,deep learning
130213,heterogeneous many-core architecture
130214,Sunway TaihuLight supercomputer
130215,Conditional random fields
130216,morpheme segmentation
130217,POS tagging
130218,Korean morphological analysis
130219,Keyword extraction
130220,Arabic natural language processing
130221,text analysis
130222,term equivalence classes
130223,Online Tamil words
130224,support vector machines (SVM)
130225,reevaluation
130226,language models
130227,expert classifiers
130228,Bilingual dictionary
130229,multilingual topic model
130230,comparable corpus
130231,Arabic cross-language information retrieval
130232,complex morphology
130233,tokenization
130234,stemming
130235,stopwords removal
130236,transliteration
130237,Arabic translation knowledge
130238,Feature Extraction
130239,Thinning
130240,zoning
130241,raster scan
130242,curve fitting
130243,Bilingual dictionary induction
130244,Weighted Partial Max-SAT
130245,constraint satisfaction problem
130246,low-resource languages
130247,pivot language
130248,Information retrieval
130249,K-means
130250,bisect K-means
130251,Arabic stemmers
130252,Sentiment analysis
130253,Arabic morphology
130254,sentiment treebank
130255,Opinion mining in Arabic
130256,Recursive Neural Networks
130257,Recursive Auto Encoder
130258,Word embedding
130259,CRF-based NER
130260,Wikipedia-based NER
130261,unsupervised NER
130262,language-independent NER
130263,classifier
130264,Emotion cause annotation
130265,emotion cause corpus
130266,emotion cause detection
130267,Arabic
130268,part-of-speech tagging
130269,morphological analysis
130270,segmentation
130271,heritage
130272,WordNet
130273,synset
130274,Turkish
130275,copying mechanism
130276,opinion mining
130277,Arabic language processing
130278,text mining
130279,Autonomic communication
130280,Bio-inspiration
130281,self-*
130282,ad-hoc networks
130283,distributed design patterns
130284,Adaptive systems
130285,ant algorithms
130286,bio-inspired systems
130287,adaptation
130288,Swarm robotics
130289,evolutionary robotics
130290,swarm intelligence
130291,Multi-Agent systems
130292,autonomy
130293,semantics
130294,social interaction
130295,specifications
130296,P2P overlay networks
130297,acquaintances
130298,ranking factor
130299,trustworthiness
130300,Grid workflows
130301,temporal constraints
130302,temporal verification
130303,adaptive checkpoint selection
130304,Complex systems
130305,MANET
130306,Self-organisation
130307,Internet application
130308,dynamic provisioning
130309,Ontologies
130310,open multiagent systems
130311,semantic negotiation
130312,formation of geometric patterns
130313,mobile robot networks
130314,self-deployment
130315,Anonymous
130316,finite-state
130317,population protocols
130318,self-stabilization
